,Unnamed: 1,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,label
All Out 60s,3,(What A) Wonderful World,Sam Cooke,69,0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518,125440,0
All Out 60s,4,Brown Eyed Girl,Van Morrison,78,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,183307,0
All Out 60s,5,I Say a Little Prayer,Aretha Franklin,59,0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03,216773,0
All Out 60s,6,Stand By Me,Ben E. King,60,0.653,0.334,9,-6.955,1,0.0313,0.411,3.47e-05,0.123,0.665,119.46,174253,0
All Out 60s,7,Ain't No Mountain High Enough,Marvin Gaye,0,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037,151667,0
All Out 60s,8,Surfin' U.S.A. - Remastered 2001,The Beach Boys,72,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231,149373,0
All Out 60s,9,(Sittin' On) the Dock of the Bay,Otis Redding,63,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,166827,0
All Out 60s,10,I Got You Babe,Sonny & Cher,58,0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533,193840,0
All Out 60s,11,Daydream Believer,The Monkees,67,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,179613,0
All Out 60s,12,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,0,0.703,0.563,0,-9.99,1,0.0294,0.374,0.0,0.0933,0.972,127.004,160533,0
All Out 60s,13,God Only Knows - Remastered 1997 / Mono,The Beach Boys,68,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072,173040,0
All Out 60s,14,Under the Boardwalk,The Drifters,68,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,161960,0
All Out 60s,15,Suspicious Minds,Elvis Presley,55,0.542,0.722,7,-5.065,1,0.0262,0.0516,1.18e-05,0.131,0.609,115.21,272360,1
All Out 60s,16,Son of a Preacher Man,Dusty Springfield,38,0.405,0.488,4,-10.784,1,0.0678,0.415,0.0,0.0753,0.806,181.624,148000,0
All Out 60s,17,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,74,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,244027,1
All Out 60s,18,For Once In My Life,Stevie Wonder,71,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121,169800,0
All Out 60s,19,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,66,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574,181067,0
All Out 60s,20,To Love Somebody,Bee Gees,0,0.423,0.384,9,-12.503,1,0.0315,0.729,4.11e-06,0.27,0.521,90.43,182000,0
All Out 60s,21,I'm a Believer - 2006 Remaster,The Monkees,72,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,167373,0
All Out 60s,22,You Can't Hurry Love,The Supremes,73,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,167933,0
All Out 60s,23,Proud Mary,Creedence Clearwater Revival,0,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,187213,0
